MDM2	NRAS
MDM2	NF1
MDM2	RPS19
MDM2	PIK3CA
MDM2	PIK3R1
MDM2	RPS26
MDM2	NBN
MDM2	TERT
MDM2	RPS20
MDM2	RPS15
MDM2	RPS14
MDM2	RPS7
MDM2	NPM1
MDM2	RPL26
MDM2	RB1
MDM2	TP53
MDM2	RPL11
MDM2	RPL5
MEFV	WAS
MEFV	MYD88
MLH1	RNASEH2A
MLH1	RNASEH2B
MLH1	PTPN11
MLH1	TERT
MLH1	NPM1
MLH1	PDGFRA
MLH1	NRAS
MLH1	NF1
MLH1	PIK3CA
MLH1	RECQL4
MLH1	NBN
MLH1	TP53
MLH1	MSH2
MLH1	PMS2
MLH1	MSH6
MLLT10	RARA
MLLT10	SH3GL1
MLLT10	TAL1
MLLT10	NPM1
MLLT10	RUNX1
MLLT10	NUP214
MLLT10	NSD1
MLLT10	PICALM
MPL	RUNX1
MPL	SH2B3
MPL	SRSF2
MPL	TET2
MPL	THPO
MSH2	TRIP13
MSH2	RNASEH2A
MSH2	SETD2
MSH2	RNASEH2B
MSH2	TERT
MSH2	PIK3CA
MSH2	NRAS
MSH2	NF1
MSH2	RECQL4
MSH2	NBN
MSH2	TP53
MSH2	PMS2
MSH2	MSH6
MSH6	RNASEH2A
MSH6	RNASEH2B
MSH6	NSD1
MSH6	TERT
MSH6	NRAS
MSH6	PIK3CA
MSH6	SETD2
MSH6	NF1
MSH6	TP53
MSH6	RECQL4
MSH6	NBN
MSH6	PMS2
MYD88	TYROBP
MYD88	TP53
MYD88	SETD2
MYD88	PIK3R1
MYD88	TET2
MYD88	PTPN11
MYD88	SAMHD1
MYD88	SETBP1
NBN	PMS2
NBN	RECQL4
NBN	POT1
NBN	TP53
NF1	RARA
NF1	PDGFRA
NF1	PDGFRB
NF1	PIK3CA
NF1	PMS2
NF1	TP53
NF1	NPM1
NF1	RUNX1
NF1	TERT
NF1	SH2B3
NF1	NSD1
NF1	SRSF2
NF1	SETBP1
NF1	SETD2
NF1	PIK3R1
NF1	TET2
NF1	PTPN11
NF1	NRAS
NPM1	SBDS
NPM1	RARA
NPM1	PDGFRA
NPM1	RPL35
NPM1	PDGFRB
NPM1	PIK3CA
NPM1	NSUN2
NPM1	RB1
NPM1	TP53
NPM1	RPS17
NPM1	RPL26
NPM1	NSD1
NPM1	RPS26
NPM1	RPL18
NPM1	RPS10
NPM1	TERT
NPM1	RPS24
NPM1	RECQL4
NPM1	SETBP1
NPM1	RPS28
NPM1	RPS7
NPM1	RPS19
NPM1	RPS14
NPM1	RPL11
NPM1	NUP214
NPM1	SRSF2
NPM1	RPL15
NPM1	RPS20
NPM1	TET2
NPM1	PIK3R1
NPM1	PTPN11
NPM1	NRAS
NPM1	RUNX1
NPM1	NUMA1
NPM1	RPL5
NRAS	RARA
NRAS	PDGFRA
NRAS	PDGFRB
NRAS	PIK3CA
NRAS	PMS2
NRAS	TP53
NRAS	RUNX1
NRAS	TERT
NRAS	SH2B3
NRAS	SETD2
